NACA 2416 Airfoil M=2.0% P=40.0% T=16.0%
1.000112 0.001676
0.998589 0.002066
0.994030 0.003229
0.986461 0.005144
0.975923 0.007776
0.962478 0.011077
0.946202 0.014991
0.927188 0.019450
0.905547 0.024383
0.881405 0.029709
0.854903 0.035347
0.826198 0.041213
0.795461 0.047220
0.762876 0.053282
0.728639 0.059313
0.692958 0.065226
0.656051 0.070936
0.618143 0.076356
0.579468 0.081400
0.540267 0.085985
0.500784 0.090027
0.461268 0.093447
0.421967 0.096171
0.382951 0.098110
0.344409 0.099054
0.306832 0.098936
0.270473 0.097741
0.235577 0.095475
0.202382 0.092163
0.171109 0.087849
0.141969 0.082600
0.115152 0.076495
0.090831 0.069631
0.069159 0.062112
0.050267 0.054051
0.034266 0.045560
0.021245 0.036746
0.011271 0.027707
0.004392 0.018529
0.000632 0.009278
0.000000 0.000000
0.002450 -0.008970
0.007920 -0.017307
0.016359 -0.024992
0.027699 -0.032001
0.041855 -0.038310
0.058727 -0.043895
0.078201 -0.048734
0.100152 -0.052812
0.124442 -0.056123
0.150924 -0.058672
0.179442 -0.060475
0.209833 -0.061561
0.241924 -0.061975
0.275537 -0.061773
0.310485 -0.061022
0.346574 -0.059797
0.383604 -0.058180
0.421598 -0.056224
0.460273 -0.053858
0.499216 -0.051138
0.538192 -0.048139
0.576966 -0.044929
0.615303 -0.041575
0.652966 -0.038133
0.689725 -0.034658
0.725351 -0.031194
0.759622 -0.027782
0.792324 -0.024459
0.823250 -0.021256
0.852204 -0.018204
0.879001 -0.015331
0.903470 -0.012664
0.925452 -0.010230
0.944805 -0.008054
0.961402 -0.006163
0.975133 -0.004579
0.985909 -0.003323
0.993658 -0.002413
0.998328 -0.001861
0.999888 -0.001676
