SC(2)-0714 | Supercritical airfoil (coordinates from Raymer w/ one correction). These coordinates are actual model coordinates, not coordinates as designed. Ref: NASA TP-2890
1.000 -.0104
0.990 -.0071
0.980 -.0039
0.970 -.0009
0.950 .0049
0.920 .0131
0.900 .0181
0.870 .0251
0.850 .0294
0.820 .0353
0.800 .0389
0.770 .0439
0.750 .0469
0.720 .0509
0.700 .0533
0.680 .0555
0.650 .0585
0.620 .0610
0.600 .0625
0.570 .0645
0.550 .0656
0.530 .0666
0.500 .0678
0.480 .0684
0.450 .0692
0.430 .0695
0.400 .0697
0.380 .0698
0.350 .0696
0.330 .0692
0.300 .0685
0.270 .0673
0.250 .0664
0.220 .0646
0.200 .0632
0.170 .0606
0.150 .0585
0.120 .0548
0.100 .0518
0.070 .0462
0.050 .0411
0.040 .0381
0.030 .0343
0.020 .0293
0.010 .0219
0.005 .0158
0.002 .0095
0.000 .00
0.002 -.0093
.0050 -.016
0.010 -.0221
0.020 -.0295
0.030 -.0344
0.040 -.0381
0.050 -.0412
0.070 -.0462
0.100 -.0517
0.120 -.0547
0.150 -.0585
0.170 -.0606
0.200 -.0633
0.220 -.0647
0.250 -.0666
0.280 -.068
0.300 -.0687
0.320 -.0692
0.350 -.0696
0.370 -.0696
0.400 -.0692
0.420 -.0688
0.450 -.0676
0.480 -.0657
0.500 -.0644
0.530 -.0614
0.550 -.0588
0.580 -.0543
0.600 -.0509
0.630 -.0451
0.650 -.041
0.680 -.0346
0.700 -.0302
0.730 -.0235
0.750 -.0192
0.770 -.0150
0.800 -.0093
0.830 -.0048
0.850 -.0024
0.870 -.0013
0.890 -.0008
0.920 -.0016
0.940 -.0035
0.950 -.0049
0.960 -.0066
0.970 -.0085
0.980 -.0109
0.990 -.0137
1.000 -.0163
